code,year,stknme,FS_Combas-A001101000,FS_Combas-A001000000,FS_Combas-A002101000,FS_Combas-A002100000,FS_Combas-A002201000,FS_Combas-A002200000,FS_Combas-A002000000,FS_Combas-A003000000
000615,2000,*ST 美谷,63640471.66,742412284.81,8000000.0,126667445.75,69600000.0,70717511.09,197384956.84,545027327.97
000616,2000,*ST 海投,44002565.15,523659567.57,190000000.0,225714836.56,0.0,0.0,225714836.56,297944731.01
000617,2000,中油资本,22149806.33,476624639.29,0.0,208665456.58,0.0,89989788.17,298655244.75,177969394.54
000618,2000,吉林化工,228964237.0,17710708378.0,1989440000.0,4385477165.0,4512317447.0,7580101582.0,11965578747.0,5745129631.0
000619,2000,海螺新材,101911715.86,714184660.34,162000000.0,350142714.27,94660000.0,94660000.0,444802714.27,269381946.07
000620,2000,新华联,97979284.34,1208980033.37,297110000.0,404461989.35,0.0,2925920.0,407387909.35,801592124.02
000621,2000,*ST 比特,54114718.98,414572286.37,50000000.0,72937302.17,0.0,0.0,72937302.17,341634984.2
000622,2000,*ST 恒立,95996219.84,504571868.81,97750000.0,221614212.31,46134300.0,48575300.0,270189512.31,234382356.5
000623,2000,吉林敖东,262890124.95,1432667801.46,167800000.0,325132776.85,54000.0,54000.0,325186776.85,1107481024.61
000625,2000,长安汽车,1496241984.87,7571674232.64,796500000.0,4467512813.16,155250000.0,185702416.72,4653215229.88,2918459002.76
000626,2000,远大控股,39847195.95,653988680.66,114629300.5,469000754.7,3568000.0,4154466.0,473155220.7,180833459.96
