code,year,stknme,AnaAttention,Audittyp,InternationalBig4,Ysmvosd,Ysmvttl,Yretwd,PropertyRightsNature,Seperation,ActualControllerNatureID,OwnershipProportion,ControlProportion,Shrcr1,Shrhfd5,Shrz,FundHoldProportion,QFIIHoldProportion,BrokerHoldProportion,BankHoldProportion,NonFinanceHoldProportion,InsInvestorProp,StaffNumber,ConcurrentPosition,Boardsize2,ExecutivesNumber,IndDirector,SumSalary,TOP3SumSalary,Ynshrtrd,DirectorHoldshares,ManageHoldshares
2.0,2019,万科A,3.912023,标准无保留意见,1.0,312634171.98,312924644.43,0.404567,1.0,0.0,2120,28.69,28.69,28.692,0.106589,2.0552,9.7712,,5.21,,,74.0112,131505.0,0.0,10.0,4.0,4.0,60500000.0,33201000.0,12906869259,10524575.0,3218330.0
2.0,2020,万科A,3.828641,标准无保留意见,1.0,278893778.71,279084440.5,-0.075387,1.0,0.0,2120,27.91,27.91,27.9126,0.108411,1.7126,10.1326,,5.07,,,69.1126,140565.0,0.0,11.0,4.0,4.0,58186000.0,32662000.0,19715359350,7306245.0,0.0
2.0,2021,万科A,3.637586,标准无保留意见,1.0,192018852.52,192150123.49,-0.270979,1.0,0.0,2120,27.89,27.89,27.8942,0.107087,1.7058,10.7297,,1.14,,,67.4197,139494.0,0.0,11.0,4.0,4.0,34096000.0,15239000.0,21153574603,7306245.0,
2.0,2022,万科A,3.496508,标准无保留意见,1.0,176855965.47,176980376.9,-0.022154,1.0,0.0,2120,27.88,27.88,27.8815,0.107668,1.701,10.0051,,1.14,,,69.3351,131817.0,0.0,11.0,4.0,4.0,32457000.0,15043000.0,26099773690,7740845.0,633300.0
2.0,2023,万科A,3.218876,标准无保留意见,1.0,101636339.07,101715095.74,-0.396196,1.0,0.0,2120,27.18,27.18,27.1804,0.11006,1.4698,4.8309,,2.28,,,62.6809,131097.0,0.0,11.0,4.0,4.0,7661000.0,3574000.0,18076549082,7590845.0,633300.0
3.0,2000,PT 金田A,,拒绝发表意见,2.0,1439406.01,1943975.87,0.371115,,,,,,,,,,,,,,,5446.0,1.0,9.0,5.0,1.0,,,1212893404,201894.0,193229.0
3.0,2001,PT 金田A,,拒绝发表意见,2.0,690914.88,933108.42,-0.52,,,,,,,,,,,,,,,2941.0,0.0,9.0,3.0,1.0,,,195624333,201894.0,53571.0
3.0,2002,PT 金田A,,,,520105.37,702423.28,-0.247222,,,,,,,,,,,,,,,,,,,,,,20045212,,
4.0,2000,*ST 国华,,标准无保留意见,2.0,1374680.74,2771230.57,2.877791,,,,,,,,,,,,,,,444.0,0.0,8.0,2.0,0.0,67000.0,67000.0,276679216,0.0,0.0
4.0,2001,*ST 国华,,标准无保留意见,2.0,917703.53,1850006.35,-0.332424,,,,,,,,,,,,,,,375.0,0.0,9.0,5.0,0.0,,,68434994,0.0,0.0
4.0,2002,*ST 国华,,标准无保留意见,2.0,624438.31,1258810.49,-0.317982,,,,,,,,,,,,,,,386.0,0.0,8.0,5.0,3.0,,0.0,73394181,0.0,0.0
4.0,2003,*ST 国华,,标准无保留意见,2.0,349085.59,703724.61,-0.439715,1.0,28.8344,2000,9.1056,37.94,37.9429,0.15221,5.1234,,,4.96,,7.4,57.65,344.0,0.0,9.0,4.0,3.0,,0.0,62284695,43600.0,43600.0
4.0,2004,*ST 国华,,标准无保留意见,2.0,283684.12,571881.22,-0.187351,1.0,28.8344,2000,9.1056,37.94,37.9429,0.151815,5.1234,0.0001,,4.64,,7.41,53.5501,303.0,0.0,9.0,4.0,3.0,,0.0,235828680,43600.0,43600.0
4.0,2005,*ST 国华,,标准无保留意见,2.0,172459.95,347663.47,-0.39207,1.0,15.5015,2000,22.764,37.94,37.9429,0.149889,5.1234,0.0001,,1.52,,7.41,50.9101,284.0,0.0,9.0,3.0,3.0,785000.0,660000.0,144242241,43600.0,0.0
4.0,2006,*ST 国华,,标准无保留意见,2.0,213269.84,344304.4,0.237922,1.0,11.62,2000,17.06,28.44,28.4445,0.084505,5.0946,,,1.9,,5.58,38.2,284.0,1.0,9.0,3.0,3.0,865000.0,740000.0,215091395,54500.0,0.0
4.0,2007,*ST 国华,,标准无保留意见,2.0,650285.97,836407.77,1.526439,1.0,10.384,2000,15.576,25.96,25.9643,0.06772,23.6377,,,,,,29.12,284.0,1.0,8.0,5.0,3.0,736700.0,645000.0,534959922,0.0,0.0
4.0,2008,*ST 国华,,标准无保留意见,2.0,250294.38,298957.0,-0.64257,1.0,10.432,2000,15.648,26.08,26.0756,0.070065,8.4846,,,,,,35.65,288.0,0.0,9.0,5.0,3.0,1204000.0,680000.0,216099026,0.0,0.0
4.0,2009,*ST 国华,,标准无保留意见,2.0,703074.11,839766.84,1.808989,0.0,10.44,3200,15.66,26.1,26.0961,0.07131,8.4666,,,,,,29.38,291.0,0.0,9.0,6.0,3.0,1261900.0,859300.0,347474715,0.0,0.0
4.0,2010,*ST 国华,,标准无保留意见,2.0,1009881.3,1011079.28,0.204,0.0,10.44,3200,15.66,26.1,26.0961,0.073459,5.2052,,,,,,35.27,277.0,0.0,9.0,4.0,3.0,1585100.0,1036800.0,279839521,0.0,0.0
4.0,2011,*ST 国华,,标准无保留意见,2.0,678566.42,679371.37,-0.328073,0.0,10.44,3200,15.66,26.1,26.0961,0.072628,6.5098,0.79,,,,,36.64,322.0,0.0,8.0,5.0,3.0,1514100.0,848200.0,505446067,2300.0,0.0
4.0,2012,*ST 国华,,标准无保留意见,2.0,686101.25,686929.28,0.011125,0.0,10.44,3200,15.66,26.1,26.0961,0.071255,6.2465,,,,,,31.83,277.0,0.0,9.0,6.0,3.0,1670900.0,871900.0,512465458,2300.0,0.0
4.0,2013,*ST 国华,,标准无保留意见,2.0,977149.1,978328.37,0.424205,0.0,8.352,3110,17.748,26.1,26.0961,0.071697,5.3117,,0.53,4.91,,,35.6,243.0,0.0,9.0,4.0,3.0,1284400.0,837200.0,534323028,2300.0,0.0
4.0,2014,*ST 国华,,标准无保留意见,2.0,1305940.9,1307516.97,0.336481,0.0,8.352,3110,17.748,26.1,26.0961,0.069123,10.9576,8.0128,,,,,36.1328,220.0,0.0,9.0,4.0,3.0,1518600.0,917600.0,623450965,2300.0,0.0
