code,listing_year,industry
002792,2016,C
002793,2016,C
002795,2016,C
002796,2016,C
002797,2016,J
002798,2016,C
002799,2016,C
002800,2016,G
002801,2016,C
002802,2016,C
002803,2016,C
002805,2016,C
002806,2016,C
002807,2016,J
002808,2016,C
002809,2016,C
002810,2016,C
002811,2016,E
002812,2016,C
002813,2016,C
002815,2016,C
002816,2016,C
002817,2016,C
002818,2016,L
002819,2016,F
002820,2016,C
002821,2016,C
002822,2016,E
002823,2016,C
002824,2017,C
002825,2016,C
002826,2016,C
002827,2016,C
002828,2016,B
002829,2016,C
002830,2016,E
002831,2016,C
002832,2016,C
002833,2016,C
002835,2016,C
002836,2016,C
002837,2016,C
002838,2017,C
002839,2017,J
002840,2017,C
002841,2017,C
002842,2017,C
002843,2017,C
002845,2017,C
002846,2017,C
002847,2017,C
002848,2017,C
002849,2017,C
002850,2017,C
002851,2017,C
002852,2017,C
002853,2017,C
002855,2017,C
002856,2017,E
002857,2017,C
002858,2017,R
002859,2017,C
002860,2017,C
002861,2017,C
002862,2017,C
002863,2017,C
002864,2017,C
002865,2017,C
002866,2017,C
002867,2017,F
002868,2017,C
002869,2017,C
002870,2017,C
002871,2017,C
002872,2017,F
002873,2017,C
002875,2017,C
002876,2017,C
002877,2017,C
002878,2017,L
002879,2017,C
002880,2017,C
002881,2017,C
002882,2017,C
002883,2017,M
002884,2017,C
002885,2017,C
002886,2017,C
002887,2017,E
002888,2017,C
002889,2017,L
002890,2017,C
002891,2017,C
002892,2017,C
002893,2017,D
002895,2017,C
002896,2017,C
002897,2017,C
002898,2017,C
002899,2017,C
002900,2017,C
002901,2017,C
002902,2017,C
002903,2017,C
002905,2017,R
002906,2017,C
002907,2017,C
002908,2017,I
002909,2017,C
002910,2015,C
002911,2017,D
002912,2017,I
002913,2017,C
002915,2017,C
002916,2017,C
002917,2017,C
002918,2017,C
002919,2017,C
002920,2017,C
002921,2017,C
002922,2017,C
002923,2018,C
002925,2018,C
002926,2018,J
002927,2018,C
002928,2018,G
002929,2018,I
002930,2018,G
002931,2018,C
002932,2018,C
002933,2018,C
002935,2018,C
002936,2015,J
002937,2018,C
002938,2018,C
002939,2018,J
002940,2018,C
002941,2018,E
002942,2018,C
002943,2018,C
002945,2019,J
002946,2019,C
002947,2019,C
002948,2015,J
002949,2019,M
002950,2019,C
002951,2019,C
002952,2019,C
002953,2019,C
002955,2019,C
002956,2019,C
002957,2019,C
002958,2019,J
002959,2019,C
002960,2019,C
002961,2019,J
002962,2019,C
002963,2019,E
002965,2019,C
002966,2019,J
002967,2019,M
002968,2019,K
002969,2019,C
002970,2019,C
002971,2020,C
002972,2019,C
002973,2020,N
002975,2020,C
002976,2020,C
002977,2020,C
002978,2020,B
002979,2020,C
002980,2020,C
002981,2020,C
002982,2020,A
002983,2020,C
002984,2020,C
002985,2020,C
002986,2020,C
002987,2020,I
002988,2020,C
002989,2020,E
002990,2020,I
002991,2020,C
002992,2020,C
002993,2020,C
002995,2020,I
002996,2020,C
002997,2020,C
002998,2020,C
002999,2020,F
003000,2020,C
003001,2020,E
003002,2020,C
003003,2020,C
003004,2020,I
003005,2020,I
003006,2020,C
003007,2020,I
003008,2020,M
003009,2020,C
003010,2020,I
003011,2020,C
003012,2013,C
003013,2020,M
003015,2020,C
003016,2020,C
003017,2020,C
003018,2020,C
003019,2020,C
003020,2020,F
003021,2020,C
003022,2020,C
003023,2020,C
003025,2020,C
003026,2020,C
003027,2020,N
003028,2020,C
003029,2020,I
003030,2021,C
003031,2021,C
003032,2021,P
003033,2021,C
003035,2021,M
003036,2021,C
003037,2021,C
003038,2021,C
003039,2021,D
003040,2021,C
003041,2021,C
003042,2021,C
003043,2021,C
003816,2014,D
300001,2009,C
300002,2009,G
300003,2009,C
300004,2009,C
300005,2009,C
300006,2009,C
300007,2009,C
300008,2009,K
300009,2009,C
300010,2009,G
300011,2009,C
300012,2009,K
300013,2009,F
300014,2009,C
300015,2009,K
300016,2009,C
300017,2009,G
300018,2009,C
300019,2009,C
300020,2009,G
300021,2009,C
300022,2009,H
300023,2009,C
300024,2009,C
300025,2009,G
300026,2009,C
300027,2009,L
300028,2009,G
300029,2009,C
300030,2009,C
300031,2009,C
300032,2009,C
300033,2009,G
300034,2009,C
300035,2009,C
300036,2009,G
300037,2010,C
300038,2010,G
300039,2010,C
300040,2010,C
300041,2010,C
300042,2010,G
300043,2010,C
300044,2010,G
300045,2010,G
300046,2010,C
300047,2010,G
300048,2010,C
300049,2010,C
300050,2010,G
300051,2010,G
300052,2010,G
300053,2010,C
300054,2010,C
300055,2010,K
300056,2010,C
300057,2010,C
300058,2010,K
300059,2010,G
300061,2010,C
300062,2010,C
300063,2010,C
300064,2010,C
300065,2010,G
300066,2010,C
300067,2010,C
300068,2010,C
300069,2010,C
300070,2010,K
300071,2010,L
300072,2010,C
300073,2010,C
300074,2010,G
300075,2010,G
300076,2010,G
300077,2010,C
300078,2010,C
300079,2010,G
300080,2010,C
300081,2010,G
300082,2010,C
300083,2010,C
300084,2010,B
300085,2010,G
300086,2010,C
300087,2010,A
300088,2010,C
300089,2010,C
300090,2010,C
300091,2010,C
300092,2010,C
300093,2010,C
300094,2010,A
300095,2010,C
300096,2010,G
300097,2010,C
300098,2010,G
300099,2010,C
300100,2010,C
300101,2010,G
300102,2010,C
300103,2010,C
300104,2010,L
300105,2010,C
300106,2010,A
300107,2010,C
300108,2010,C
300109,2010,C
300110,2010,C
300111,2010,C
300112,2010,C
300113,2010,G
300114,2010,C
300115,2010,C
300116,2010,C
300117,2010,E
300118,2010,C
300119,2010,C
300120,2010,C
300121,2010,C
300122,2010,C
300123,2010,C
300124,2010,C
300125,2010,K
300126,2010,C
300127,2010,C
300128,2010,C
