province,year,gdp,gdp_growth
福建,2011,18195.2,
福建,2012,20510.8,12.72643334505803
福建,2013,22851.7,11.413011681650653
福建,2014,25329.4,10.842519374926152
福建,2015,27307.5,7.809502001626556
福建,2016,30199.2,10.589398516890958
福建,2017,34432.2,14.016927600731144
福建,2018,39204.8,13.860862797033025
福建,2019,42479.1,8.351783455087114
福建,2020,43682.0,2.8317454936662934
福建,2021,49602.6,13.553866581200502
福建,2022,52099.6,5.034010313975479
福建,2023,54801.7,5.186412179748023
福建,2024,57476.6,4.881052960035914
西藏,2011,620.8,
西藏,2012,721.1,16.156572164948457
西藏,2013,840.3,16.530300929136033
西藏,2014,954.8,13.626085921694632
西藏,2015,1063.6,11.395056556346873
西藏,2016,1197.4,12.579917262128637
西藏,2017,1381.0,15.333221980958744
西藏,2018,1583.5,14.663287472845754
西藏,2019,1750.3,10.533628039153765
西藏,2020,1956.5,11.780837570702163
西藏,2021,2145.1,9.639662662918468
西藏,2022,2235.4,4.209593958323632
西藏,2023,2532.9,13.308580119889047
西藏,2024,2789.1,10.114888072959838
贵州,2011,5690.5,
贵州,2012,6828.1,19.991213425885256
贵州,2013,8079.9,18.333064835019975
贵州,2014,9297.5,15.069493434324688
贵州,2015,10887.1,17.097069104598006
贵州,2016,12133.9,11.452085495678354
贵州,2017,14067.3,15.933871220300144
贵州,2018,15886.6,12.932830038457999
贵州,2019,17251.8,8.593405763347729
贵州,2020,18308.3,6.123998655212781
贵州,2021,19921.3,8.810211761878485
贵州,2022,20579.5,3.304001244898691
贵州,2023,21513.7,4.539468888942877
贵州,2024,22645.7,5.261763434462696
辽宁,2011,16585.3,
辽宁,2012,18127.6,9.299198687994782
辽宁,2013,19534.3,7.759990291047902
辽宁,2014,20381.5,4.336986736151283
辽宁,2015,20657.8,1.355641145156139
辽宁,2016,20832.0,0.8432650136994235
辽宁,2017,22105.4,6.112711213517663
辽宁,2018,24113.5,9.084205669202984
辽宁,2019,25665.9,6.437887490409944
辽宁,2020,25839.0,0.674435729898426
辽宁,2021,28471.0,10.18615271488834
辽宁,2022,29739.7,4.456113238031678
辽宁,2023,31389.8,5.548475606680636
辽宁,2024,32540.8,3.6667962204282922
重庆,2011,10314.1,
重庆,2012,11797.8,14.385162059704658
重庆,2013,13275.8,12.527759412771866
重庆,2014,14911.7,12.322421247683767
重庆,2015,16305.9,9.349705264993258
重庆,2016,18271.1,12.052079308716479
重庆,2017,20260.8,10.889875267498962
重庆,2018,21866.8,7.926636657979946
重庆,2019,23689.6,8.335924780946446
重庆,2020,25158.1,6.198922734026757
